t,value
1523480235,251658240
1523481135,251658240
1523482035,251658240
1523482935,251658240
1523483835,251658240
1523484735,251658240
1523485635,251658240
1523486535,251658240
1523487435,251658240
1523488335,251658240
1523489235,251658240
1523490135,251658240
1523491035,251658240
1523491935,251658240
1523492835,251658240
1523493735,251658240
1523494635,251658240
1523495535,251658240
1523496435,251658240
1523497335,251658240
1523498235,251658240
1523499135,251658240
1523500035,251658240
1523500935,251658240
1523501835,251658240
1523502735,251658240
1523503635,251658240
1523504535,251658240
1523505435,251658240
1523506335,251658240
1523507235,251658240
1523508135,251658240
1523509035,251658240
1523509935,251658240
1523510835,251658240
1523511735,251658240
1523512635,251658240
1523513535,251658240
1523514435,251658240
1523516256,251658240
